id_trans,username,timestamp,earnings
P,gilbert,1763946694.455315,2000.0
P,gilbert,1763946860.698105,11.0
P,colo,1764004671.442547,800.0
B,gilberto,1764006396.202396,-200.0
B,colo,1764006396.202396,-800.0
B,hubert,1764006396.202396,-700.0
B,gilbert,1764006396.202396,-500.0
B,colo,1764007903.412903,-200.0
B,hubert,1764007903.412903,-600.0
B,gilbert,1764007903.412903,-200.0
B,gilberto,1764007903.412903,-200.0
B,gilbert,1764010497.909279,-200.0
B,colo,1764010497.909279,-200.0
B,gilberto,1764015739.427202,-200.0
B,gilbert,1764015739.427202,-400.0
B,colo,1764015739.427202,-200.0
B,hubert,1764015739.427202,-200.0
B,gilberto,1764015916.957261,-200.0
B,gilbert,1764015916.957261,-200.0
B,hubert,1764015916.957261,-500.0
B,colo,1764015916.957261,-600.0
P,gilberto,1764016351.165501,0.0
B,colo,1764016426.654616,-200.0
B,gilberto,1764016426.654616,-200.0
B,hubert,1764016426.654616,200.0
B,gilbert,1764016426.654616,-200.0
B,colo,1764019859.999742,-200.0
B,gilbert,1764019859.999742,-200.0
B,hubert,1764019859.999742,-200.0
B,gilberto,1764019859.999742,-200.0
B,gilbert,1764020156.704908,-200.0
B,hubert,1764020156.704908,-200.0
B,gilberto,1764020156.704908,-200.0
B,colo,1764020156.704908,-200.0
B,gilberto,1764020635.256542,-200.0
B,colo,1764020635.256542,-200.0
B,hubert,1764020635.256542,-400.0
B,gilbert,1764020635.256542,-600.0
B,gilberto,1764021373.076073,-200.0
B,colo,1764021373.076073,-200.0
B,hubert,1764021373.076073,-200.0
B,gilbert,1764021373.076073,-200.0
B,gilberto,1764022875.170174,-200.0
B,hubert,1764022875.170174,-200.0
B,gilbert,1764022875.170174,-200.0
B,colo,1764022875.170174,-200.0
